seq_time,picard_time,picard_iters,reward_error,obs_error,action_error
0.0018770694732666016,0.6824991703033447,4,0.00071048737,0.00019741058,7.1618706e-07
0.001917123794555664,0.0026171207427978516,3,3.4332275e-05,1.21593475e-05,5.9604645e-08
0.0018067359924316406,0.0030519962310791016,4,0.0052833557,0.0015234947,4.053116e-06
0.0017981529235839844,0.003081083297729492,4,0.00032043457,0.00010538101,3.1292439e-07
0.0019292831420898438,0.0024356842041015625,3,5.6266785e-05,2.3473054e-05,1.2665987e-07
0.001837015151977539,0.002997159957885742,4,2.3841858e-07,2.3841858e-07,2.3841858e-07
0.00185394287109375,0.0024700164794921875,3,5.722046e-06,2.503395e-06,1.1920929e-07
0.001825094223022461,0.0031490325927734375,4,0.014158249,0.004752159,7.2717667e-06
0.0018177032470703125,0.0031151771545410156,4,4.386902e-05,2.1576881e-05,1.1920929e-07
0.0018010139465332031,0.0030336380004882812,4,0.0028476715,0.0008573532,1.7881393e-06
